Number,Country,Detailed Locations ,Began,Ended,Duration in Days,Dead,Displaced,Damage (USD),Type,Main cause,Severity index,flooded area,Affected sq km,peak discharge Q,Peak Water level h,Magnitude (M)**,Centroid X,Centroid Y,Notes and Comments (may include quoted headlines from copyrighted news stories; for internal research purposes only),map of flood extent
1,Albania,Northwestern Albania,41348,41376,29,0,2800,,,Heavy Rain,1,,3304.87,,,4.981552378697,19.6182,42.0043,"April 11, 2013: ""OBOT, Albania (AP) -- Villagers in northwestern Albania are running out of patience after their homes have been surrounded by floodwaters for a month.They blame their ills on the operators of major hydropower dams that discharged vast quantities of water to keep levels manageable, and said Thursday the government has done little to ease their plight.""They get millions of euros selling the electricity produced by this water you see in my yard,"" farmer Hil Gjocaj said in Obot village, 120 kilometers (75 miles) northwest of the capital, Tirana. ""But not a cent of that money has come here to protect me and my business from the water.""The 51-year-old pointed in disgust to a water-covered greenhouse. Inside, his pepper plants - in which he has invested about 1,000 euros ($1,300) - lay under waters as placid as a lake's.Submerged orange and lemon groves stand around, while dry pockets that rise above the water here and there are covered in parked cars.A month after heavy rains started, more than 700 houses in the Shkoder district remain surrounded by three feet (about a meter) of floodwater, although their residents stayed on as most buildings are dry inside. About 15,000 acres (6,000 hectares) of land are waterlogged, and rafts or small boats are the only mode of transportation.Obot lies five kilometers (3 miles) from the national road. To cover that distance now takes half an hour by small boat. Most of the houses are two-story constructions, many built in the past two decades by returning immigrants - more than 1 million of whom left the impoverished Balkan country after the fall of Communism in 1990, to seek a better future in the west or neighboring Greece.Their choice of a site may not have been the best. The area has experienced severe floods three times in the past four years, and serves as a basin for surrounding regions.
Pellumb Dani, an official at the Shkoder prefecture, said Thursday that the area is prone to flooding whenever there is heavy rain, particularly as the country's three main hydropower stations that cover 95 percent of domestic electricity needs are built on the nearby Drini River.When it rains a lot, operators are forced to discharge water to lessen the load on dams that could otherwise crack. That goes downstream and floods the surrounding countryside. Dani said the volume of water entering the area in recent days was at times nearly twice as much as can be naturally absorbed or carried away by rivers.But farmers in Obot alleged that power authorities tried to stock up a lot of water in the dams during the summer, and the sheer volume of winter rain took them by surprise, quickly bringing reservoir water to near-dangerous levels.""There has never been flooding in spring,"" 83-year old Pjeter Gjocaj said from a verandah on his water-surrounded house. ""Me and the women have been imprisoned here for a month.""Power company officials weren't immediately available for comment.Authorities have been sending food and drinking water to flood victims, but farmers say their main concern is food for their livestock.""Flooding came at a time when we were to cut the grass (for fodder). Many cows or sheep are on the brink of death,"" said Denard Franja, a farmer who has started a side business as a boatman. ""Authorities have compensated us only for the first floods in 2010. This time they have not come at all.""Regional authorities have promised around 600 tons of fodder imported from Montenegro will arrive in the next few days.",
2,Albania,"Northwest Albania, central Croatia, parts of Bosnia",40182,40191,10,0,1500,,riverine flood,Heavy Rain,1.5,10500 hectares,60173.47,3.600 m3/sec,,5.95549631555979,20.0828,41.4664,"January 11, 2010: Much of eastern Europe is experiencing some of its worst flooding in decades. In Albania, a combination of heavy snow followed by equally heavy rain has caused rivers to burst their banks.The authorities have been forced to discharge water from three hydro-electric power stations after danger levels were reached.Hardest-hit is Albania’s northwest where EU countries have sent boats, pumps and food to help out while 700 Albanian troops have been called up to organise an evacuation of thousands of people trapped in their homes from rising flood waters.The situation is also critical in other parts of the Adriatic hinterland. Central Croatia and parts of Bosnia are struggling where it has been raining for days with little sign of a change in the weather.An artificial lake in Croatia’s Kosinj valley has overflowed and, in some areas, water levels were reported to be rising by eight centimetres an hour.
Local residents are on standby to be evacuated while, nearby, electricity had to be cut off to about 150 homes due to the threat of electric shocks. And, in Bosnia, the situation is worst in the central and southern parts of the country where the impact of torrential rain and flooding is being described as a catastrophe.Some residents are hoping to sit it out, refusing to leave their flooded homes for fear of what might become of their possessions.
 January 6, 2010: ""Tirana - Albania is facing a potential catastrophe after days of heavy rain which have left hundreds of houses flooded in the northwestern areas, Prime Minister Sali Berisha said Wednesday. 'We are in a real emergency situation and a potential catastrophe,' Berisha told reporters in Tirana after an emergency government meeting to discuss urgent evacuation of flooded areas. 'The rain is falling for 10 days. It is our duty to prevent catastrophe, so these areas have to be evacuated,' he said adding that the army is completing evacuation plans. Earlier media reports indicated that a number of villagers from Shkodra area refused to leave their homes fearing they would loose their possessions, and authorities threatening they will be evacuated by force. 'The loss of even one life would be a heavy burden for the country. It is more courageous to find a way to overcome this situations with wisdom,' Berisa said calling the inhabitants of flooded villages to evacuate. 

According to the latest reports over 3800 hectares of land are under water and 350 houses are flooded
",http://www.mapaction.org/map-catalogue/mapdetail/1967.html
3,Albania,"Southern regions: Gjirokaster, Durres, Elbasan, Lezhe, Berat, Fier. Vlore, also the capital Tirana. Towns: Burrel, Rubik. Librazhd district",38686,38689,4,3,0,,riverine flood,Heavy rain,1,,10408.03,,,4.6194285266893,20.2064,40.4745,"Over 4,100 hectares of farmland flooded. Hundred houses damaged. 10,000 people isolated in the Librazhd district after floods destroyed a bridge.",
4,Albania,Shkodra district - Obot ,38325,38329,5,0,0,173000,riverine flood,Heavy rain,1,,426.448,,,3.32883608628767,19.5485,42.04,"Heavy rain forces authorities to open gates of hydropower station - 400 houses and thousands of hectares submerged.
MODIS observation of flooding around Lake Scutari near Shkodra on December 7, 8.",
5,Albania,"Northern - Lezha and Shkoder regions. areas of Lac, Lezha, Shkodra and Kukes. 
Southern - districts of Berat, Skrapar, Permet, Tepelena, Gjirokastra, Saranda and Korca. Osum River in Berat.
Tirana city flooded by drunk dam worker on Sep 27 ",37520,37537,18,1,9700,17500000,riverine flood,Heavy rain,1,,11922.12,,,5.33162599393342,19.7738,41.3975,"""Tirana's deputy mayor resigned Tuesday after much of the Albanian capital was flooded when a drunken worker opened the gates of a nearby dam""CAUSE:Rain",
6,Albania,Northwest: Lezhe,35784,35787,4,0,400,,coastal flood,Heavy rain,1,,1640.67,,,3.81708122832787,19.7114,41.8429,Flash floods.,
7,Albania,Northwest Albania: Lezha area,35388,35390,3,0,50,,,Heavy Rain,1,,1123.04,,,3.5275164797878,19.7026,41.7999,Dozens of farmers lost homes and livestock. Railways flooded.,
8,Albania,"Alaska: Anchorage, Kenai Peninsula, Matanuska-Susitna",34963,34966,4,4,0,10000000,flash flood,Heavy rain,1,,17072.03,,,4.83434515657746,19.9654,41.6303,Several hundred buildings flooded and residents evacuated.,
9,Albania,"Provinces: Lezhe, Miredita, Laci",34930,34937,8,5,0,,,Heavy rain,1,,11109.46,,,4.9487829365971,19.9858,41.8101,"Farmland, power supplies, roads, bridges, and buildings destroyed.",
10,Albania,"Kruja, Lac, Lezha, Shkdora, Tropja, Mirdita",33925,33927,3,7,2000,7000000,flash flood,Torrential rain,2,,5619.46,,up to 1 m inundation depth,4.52784583458476,19.5629,42.0387,,
11,Austria,Graz,40010,40013,4,0,0,,riverine flood,Torrential Rain,1,,2765.43,,,4.04382266118486,15.7089,47.4021,"19-Jul-09: ""Austrian city declared disaster zone due to flooding Officials declared the city of Graz, Austria a disaster area Officials in southern Austria have declared the city of Graz a disaster zone after torrential rains caused flooding.Officials told citizens to keep children and animals inside as temperatures dropped to 15 degrees Celsius (59 degrees Fahrenheit) and the snow line came down to 1,500 meters (4,900 feet).Heavy rains in recent days had saturated the ground and streams burst their banks flooding streets and cellars in the southern city of 250,000.Wolfgang Uebel, an official in the disaster prevention department said that the emergency declaration was a formality which would allow officials to evacuate residents if necessary.The rain had stopped by Saturday but Uebel said the alert would remain in place until Sunday",
